state,cluster,TDS_log10,well_depth_ft,total_ion_molL,Cluster,ph,Ca_mgL,Mg_mgL,SO4_mgL,Na_mgL,Cl_mgL,K_mgL,Si_mgL,model_TDS_mgL,model_Ba_molL,model_Ca_molL,model_Fe_molL,model_K_molL,model_Li_molL,model_Mg_molL,model_Mn_molL,model_Na_molL,model_Sr_molL,model_Br_molL,model_Cl_molL,model_C_molL,model_SO4_molL,model_B_molL,model_Si_molL
NM,0,3.089461657582232,40.0,0.0253,0.0,7.9,150.0,25.0,460.0,170.0,150.0,9.3,32.0,1228.744699999999,0.0,0.0037,0.00019999999999999966,0.00019999999999999966,0.0,0.001,0.0,0.0074,0.0,0.0,0.0041999999999999755,0.003299999999999981,0.004799999999999973,0.0,0.0004999999999999982
NM,1,3.884105613244452,245.0,0.2237,1.0,7.6,190.0,120.0,1500.0,2300.0,3400.0,9.8,8.5,7657.828100000006,0.0,0.004699999999999998,0.0,0.0003,9.9999999999996e-05,0.0048999999999999955,0.0,0.1002,9.9999999999996e-05,9.999999999999351e-05,0.0961,0.0013999999999999996,0.015599999999999994,9.999999999998022e-05,9.999999999998022e-05
TX,0,2.944550920113378,476.0,0.0234,0.0,6.7,38.8,13.3,113.0,228.2,208.0,9.5,10.1,880.1383000000001,0.0,0.0009999999999999998,0.0,0.0001999999999999989,0.0,0.0004999999999999999,0.0,0.0099,0.0,0.0,0.0059,0.0044,0.0012,9.999999999999828e-05,0.0001999999999999989
TX,1,3.168650785396561,502.0,0.0390999999999999,1.0,8.3,44.1,16.1,412.0,422.0,441.0,6.03,10.8,1474.520399999998,0.0,0.001099999999999999,0.0,0.00019999999999999985,0.0,0.0006999999999999995,0.0,0.0183,0.0,0.0,0.012399999999999946,0.0016999999999999904,0.004299999999999981,0.00019999999999999573,0.00019999999999999573
TX,2,3.1568083181129243,131.0,0.0315,2.0,6.7,190.6,39.6,313.0,135.4,270.0,8.2,23.1,1434.8559999999995,0.0,0.0047,0.0,0.0002,0.0,0.0016,0.0,0.0059,0.0,0.0,0.007599999999999998,0.007799999999999999,0.0032999999999999995,0.0,0.0003999999999999969
TX,3,3.4238403847210157,98.0,0.0446,3.0,7.6,522.2,103.6,1533.0,56.0,149.0,4.1,7.3,2653.6301000000035,0.0,0.012999999999999968,0.0,9.999999999999663e-05,0.0,0.00429999999999999,0.0,0.0023999999999999937,9.999999999999851e-05,0.0,0.004199999999999997,0.004399999999999999,0.016,0.0,9.999999999999942e-05
FL,0,4.551510247273166,800.0,1.1484,0.0,7.3,140.0,550.0,2500.0,12000.0,19000.0,430.0,2.9,35604.9391,0.0,0.0035999999999999886,0.0,0.011199999999999944,0.0,0.0231,0.0,0.5334,0.0010999999999999717,0.0008999999999999648,0.5476,0.0007999999999999888,0.02659999999999997,0.00010000000000000003,0.0
FL,1,3.354369609870915,570.0,0.0477,1.0,8.0,290.0,130.0,960.0,200.0,460.0,6.6,24.0,2261.359499999999,0.0,0.007199999999999999,0.0,0.00019999999999999787,0.0,0.005299999999999999,0.0,0.008699999999999998,0.0002999999999999985,0.0,0.013,0.0025999999999999986,0.01,0.0,0.0003999999999999982
FL,2,3.3597467937652885,370.0,0.0617,2.0,7.5,73.0,55.0,440.0,600.0,730.0,34.0,50.0,2289.532399999999,0.0,0.0017999999999999986,0.0,0.0008999999999999993,0.0,0.0022999999999999987,0.0,0.0261,0.0,0.0,0.020599999999999997,0.004599999999999999,0.004599999999999999,0.0,0.0007999999999999966
FL,4,3.2841007477515984,514.0,0.0370999999999999,4.0,8.0,290.0,130.0,920.0,81.0,290.0,2.8,24.0,1923.537900000001,0.0,0.0071999999999999755,0.0,9.999999999999776e-05,0.0,0.005299999999999981,0.0,0.0034999999999999884,0.0001999999999999984,0.0,0.0082,0.0025999999999999977,0.0096,0.0,0.00039999999999999704
CA,0,3.242626142242933,158.0,0.0365,0.0,7.1,280.0,59.0,620.0,150.0,335.0,8.5,40.0,1748.3410000000003,0.0,0.007,0.0,0.00019999999999999844,0.0,0.002399999999999999,0.0,0.006499999999999999,0.0,0.0,0.009399999999999966,0.003899999999999984,0.006399999999999975,0.0,0.0006999999999999991
CA,1,3.785280429423458,195.0,0.1716,1.0,7.0,480.0,170.0,880.0,1300.0,2800.0,20.0,31.0,6099.306100000001,0.0,0.011999999999999997,0.0,0.0004999999999999977,0.0,0.006999999999999996,0.0,0.0567,9.999999999999954e-05,9.999999999999327e-05,0.0792,0.006199999999999998,0.009199999999999998,9.99999999999858e-05,0.0004999999999999976
CA,2,3.5477376718998137,168.0,0.082,2.0,7.5,190.0,170.0,1400.0,700.0,670.0,4.0,37.0,3529.699000000002,0.0,0.004699999999999998,0.0,9.99999999999972e-05,0.0,0.006999999999999998,0.0,0.030499999999999996,0.0,0.0,0.0189,0.005199999999999995,0.0146,0.0003999999999999996,0.0005999999999999994
